"id","numero_dpe","usr_diagnostiqueur_id","usr_logiciel_id","tr001_modele_dpe_id","nom_methode_dpe","version_methode_dpe","nom_methode_etude_thermique","version_methode_etude_thermique","date_visite_diagnostiqueur","date_etablissement_dpe","date_arrete_tarifs_energies","commentaires_ameliorations_recommandations","explication_personnalisee","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","tr002_type_batiment_id","secteur_activite","tr012_categorie_erp_id","tr013_type_erp_id","annee_construction","surface_habitable","surface_thermique_lot","tv016_departement_id","commune","arrondissement","type_voie","nom_rue","numero_rue","batiment","escalier","etage","porte","code_postal","code_insee_commune","code_insee_commune_actualise","numero_lot","quote_part","nom_centre_commercial","surface_commerciale_contractuelle","portee_dpe_batiment","partie_batiment","shon","surface_utile","surface_thermique_parties_communes","en_souterrain","en_surface","nombre_niveaux","nombre_circulations_verticales","nombre_boutiques","presence_verriere","surface_verriere","type_vitrage_verriere","nombre_entrees_avec_sas","nombre_entrees_sans_sas","surface_baies_orientees_nord","surface_baies_orientees_est_ouest","surface_baies_orientees_sud","surface_planchers_hauts_deperditifs","surface_planchers_bas_deperditifs","surface_parois_verticales_opaques_deperditives","etat_avancement","organisme_certificateur","adresse_organisme_certificateur","dpe_vierge","est_efface","date_reception_dpe","longitude","latitude","geo_score","geo_type","geo_adresse","geo_id","geo_l4","geo_l5","tr001_modele_dpe_code","tr001_modele_dpe_type_id","tr001_modele_dpe_modele","tr001_modele_dpe_description","tr001_modele_dpe_fichier_vierge","tr001_modele_dpe_est_efface","tr001_modele_dpe_type","tr001_modele_dpe_type_libelle","tr001_modele_dpe_type_ordre","tr002_type_batiment_code","tr002_type_batiment_description","tr002_type_batiment_libelle","tr002_type_batiment_est_efface","tr002_type_batiment_ordre","tr002_type_batiment_simulateur","tr012_categorie_erp_code","tr012_categorie_erp_categorie","tr012_categorie_erp_groupe","tr012_categorie_erp_est_efface","tr013_type_erp_code","tr013_type_erp_type","tr013_type_erp_categorie_id","tr013_type_erp_est_efface","tr013_type_erp_categorie","tv016_departement_code","tv016_departement_departement","tv017_zone_hiver_id","tv018_zone_ete_id","tv016_departement_altmin","tv016_departement_altmax","tv016_departement_nref","tv016_departement_dhref","tv016_departement_pref","tv016_departement_c2","tv016_departement_c3","tv016_departement_c4","tv016_departement_t_ext_basse","tv016_departement_e","tv016_departement_fch","tv016_departement_fecs_ancienne_m_i","tv016_departement_fecs_recente_m_i","tv016_departement_fecs_solaire_m_i","tv016_departement_fecs_ancienne_i_c","tv016_departement_fecs_recente_i_c","tv017_zone_hiver_code","tv017_zone_hiver_t_ext_moyen","tv017_zone_hiver_peta_cw","tv017_zone_hiver_dh14","tv017_zone_hiver_prs1","tv018_zone_ete_code","tv018_zone_ete_sclim_inf_150","tv018_zone_ete_sclim_sup_150","tv018_zone_ete_rclim_autres_etages","tv018_zone_ete_rclim_dernier_etage"
5661,"132AV8000001@",292,3,8,"Méthode Facture",,"\N","\N","2013-04-30","2013-04-30","2011-09-15",,"Une différence d'utilisation des appareils de chauffage et d'eau chaude sanitaire ainsi que du nombre d'occupants peut générer un résultat des consommations différents de celui figurant sur le rapport.  Une différence de la température de chauffage utlisée peut également générer cette différence, en effet, le diagnostic est calculée suivant une température moyenne de 19 degrés. D'autre part, les luminaires et les appareils électriques ne sont pas pris en compte dans le calcul des consommations.",82,"B",2,"A",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1947,"93.50","93.50",96,"BONIFACIO",,,"8 rue Doria",,,,,,"20169","20169","20169","8",,,"100","2",,"85.00","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","0.00","0.00","0.00",1,"CERTIFI","37, route de Paris 31140 AUCAMVILLE (détail sur www.cofrac.fr programme n°4-4-11)","0",0,"2013-05-13T04:00:00+02:00",,,0,,,,,,"V8",1,"6.3c bis","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Energie","8_V8_DPE_6.3c_bis.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
9006,"132AV7000001Y",5771,3,7,"Méthode Facture",,"\N","\N","2013-05-16","2013-05-17","2011-09-15","Pour ce type d'immeuble, la réglementation impose d'utiliser les consommations réelles pour déterminer les étiquettes 'énergie' et 'climat' : cette information ne nous ayant pas été fournie par le propriétaire, du fait que celui-ci n'en ai pas fait de copie et le compteur, jusqu'à cette date, alimentant deux locaux distincts (donc non significatif), il n'est pas possible d'estimer les consommations.   Le diagnostic se limite donc au descriptif et aux recommandations.",,0,"N",0,"N",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1947,"68.20","68.20",96,"PORTO VECCHIO",,,"BOUTIQUE 'EN APARTE' - IMMEUBLE MARCHETTI LES QUATRE CHEMINS",,,,,,"20137","20137","20137","Non communiqué",,,"100","2",,"62.00","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","0.00","0.00","0.00",1,"C 063  QUALIXPERT - 17 RUE BORREL -  81100 CASTRES","17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11)","1",0,"2013-05-17T04:00:00+02:00",,,0,,,,,,"V7",1,"6.3c","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Usage","7_V7_DPE_6.3c.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
14058,"132AV3000001U",5771,3,3,"Méthode Facture",,"\N","\N","2013-04-25","2013-05-23","2011-09-15","Pour ce type d'immeuble, la réglementation impose d'utiliser les consommations réelles pour déterminer les étiquettes 'énergie' et 'climat' : cette information ne nous ayant pas été fournie par le propriétaire, il n'est pas possible d'estimer les consommations.  Le diagnostic se limite donc au descriptif et aux recommandations.",,0,"N",0,"N",4,"Bureau, Administration, Enseignement","\N","\N",1947,"136.40","136.40",96,"PORTO VECCHIO",,,"7 AVENUE DU MARECHAL LECLERC",,,,,,"20137","20137","20137","Non communiqué(s)",,"\N","\N","2",,"124.00","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","12.21","0.00","0.00","132.50","35.40",1,"C 063  QUALIXPERT - 17 RUE BORREL -  81100 CASTRES","17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11)","1",0,"2013-05-23T04:00:00+02:00",-0.87757,45.826652,0.74,"poi","Avenue du Maréchal Leclerc (Pont) Pont-l'Abbé-d'Arnoult","https://osm.org/way/204179490",,,"V3",1,"6.3a","Pour  les  bâtiments  à  usage  principal  de  bureau,  d’administration  ou  d’enseignement : Consommation par Usage","3_V3_DPE_6.3a.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
15397,"132AV8000002A",3046,3,8,"Méthode Facture",,"\N","\N","2013-05-21","2013-05-22","2011-09-15","Local commercial exploité en superette et en boulangerie.   La consommation d'électricité porte uniquement sur les chambres froides, armoires réfrigérées, fours de la boulangerie, éclairage et eau chaude sanitaire. L'ensemble du local commercial est dépourvu de mode de chauffage.","Des écarts sont possibles entre les consommations issues de la simulation conventionnelle et celles issues des consommations réelles.    En effet, il n'est pas tenu compte du comportement subjectif des occupants du bien, ni des variations de saisons imprévisibles.   La consommation d'énergie de ce local commercial a été faite sur la consommation en électricité de l'année 2012 (ouverture de l'établissement à l'année) et sur l'activité d'une superette et d'une boulangerie avec les réserves attenantes.   Si l'activité commerciale du local change, la consommation d'énergie s'en trouvera automatiquement modifiée.",534,"G",17,"C",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1,"225.14","225.14",96,"APPIETTO",,,"Centre commercial du Golfe de Lava - Lieut dit Ajadata",,,,,,"20167","20167","20167","63 et 64",,,"100","2","lots 63 et 64","204.67","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","0.00","0.00","0.00",1,"BUREAU VERITAS CERTIFICATION FRANCE","Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11)","0",0,"2013-05-24T04:00:00+02:00",,,0,,,,,,"V8",1,"6.3c bis","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Energie","8_V8_DPE_6.3c_bis.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
15425,"132AV8000003B",3046,3,8,"Méthode Facture",,"\N","\N","2013-05-24","2013-05-24","2011-09-15","la consommation électrique porte sur le chauffage/refroidissement, l'eau chaude sanitaire et l'éclairage","Des écarts sont possibles entre les consommations issues de la simulation conventionnelle et celles issues des consommations réelles.    En effet, il n'est pas tenu compte du comportement subjectif des occupants du bien, ni des variations de saisons imprévisibles.",169,"C",5,"B",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1,"79.18","79.18",96,"AJACCIO",,,"Centre commercial des Salines",,,,,,"20000","20000","20000","Références cadastrales non communiquées",,,"100","2","Local commercial","71.98","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","0.00","0.00","0.00",1,"BUREAU VERITAS CERTIFICATION FRANCE","Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11)","0",0,"2013-05-24T04:00:00+02:00",-2.3976277,47.2922812,0.56,"poi.retail","Centre Commercial des Salines (Zone commerciale) Guérande","https://osm.org/way/144977189",,,"V8",1,"6.3c bis","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Energie","8_V8_DPE_6.3c_bis.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
20546,"132BV4000001V",7002,10,4,"FACTURE - DPE","V2012","\N","\N","2013-05-27","2013-05-28","2011-08-15",,,88.21,"B",2.87,"A",4,"bureaux","\N","\N",2000,"542.00","542.00",97,"BASTIA","00","Zone industrielle","ERBAJOLO",,,,,,"20200","20033","20033",,,,,"\N",,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",,"\N","\N","\N","\N","\N","\N","\N","\N",1,"SQI SOCOTEC","Les Quadrants, 3 Av du Centre Guyancourt 78182 Saint-Quentin en Yvelines cedex","0",0,"2013-05-30T04:00:00+02:00",9.441965,42.664898,0.63,"street","zone industrielle 20600 Bastia","2B033_2022","ZONE INDUSTRIELLE",,"V4",1,"6.3a bis","Pour  les  bâtiments  à  usage  principal  de  bureau,  d’administration  ou  d’enseignement : Consommation par Energie","4_V4_DPE_6.3a_bis.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2B","2B - Haute Corse",3,4,0,6000,4000,32000,126,400,1.8,5,-2,504,52,65.5,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
24964,"132BV4000002W",7002,10,4,"FACTURE - DPE","V2012","\N","\N","2013-05-24","2013-05-30","2011-08-15",,,174.54,"C",5.68,"A",4,"Magasin de sport","\N","\N",1988,"97.00","97.00",97,"BASTIA","00",,"Centre Commercial ''Le POLYGONE''",,,,,,"20200","20033","20033",,,,,"\N",,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",,"\N","\N","\N","\N","\N","\N","\N","\N",1,"SQI SOCOTEC","Les Quadrants, 3 Av du Centre Guyancourt 78182 Saint-Quentin en Yvelines cedex","0",0,"2013-06-03T04:00:00+02:00",-1.9396806,48.1400217,0.64,"poi.retail","Zone commerciale le Polygone Bédée","https://osm.org/way/388694722",,,"V4",1,"6.3a bis","Pour  les  bâtiments  à  usage  principal  de  bureau,  d’administration  ou  d’enseignement : Consommation par Energie","4_V4_DPE_6.3a_bis.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2B","2B - Haute Corse",3,4,0,6000,4000,32000,126,400,1.8,5,-2,504,52,65.5,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
50443,"132AV7000002@",3046,3,7,"Méthode Facture",,"\N","\N","2013-06-13","2013-06-17","2011-09-15",,,0,"N",0,"N",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1947,"37.59","37.59",96,"GROSSETO-PRUGNA",,,"Foata",,,,,,"20128","20128","20128","3",,,"100","2","Local commercial","34.17","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","0.00","0.00","0.00",1,"BUREAU VERITAS CERTIFICATION FRANCE","Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11)","1",0,"2013-06-17T04:00:00+02:00",,,0,,,,,,"V7",1,"6.3c","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Usage","7_V7_DPE_6.3c.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
73736,"132AV7000003A",292,3,7,"Méthode Facture",,"\N","\N","2013-06-26","2013-06-26","2011-09-15",,,0,"N",0,"N",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1947,"75.75","75.75",96,"BONIFACIO",,,"rue du cardinal Zigliara",,,,,,"20169","20169","20169",,,"\N","\N","2","Rez de chaussée","68.86","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","0.00","0.00","0.00","68.86","81.00","90.00",1,"CERTIFI","37, route de Paris 31140 AUCAMVILLE (détail sur www.cofrac.fr programme n°4-4-11)","1",0,"2013-06-26T04:00:00+02:00",,,0,,,,,,"V7",1,"6.3c","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Usage","7_V7_DPE_6.3c.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2A","2A - Corse du Sud",3,4,0,6000,4200,34000,126,400,1.8,5,-2,529.2,52,65.9,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
88141,"132BV7000001Y",537,3,7,"Méthode Facture",,"\N","\N","2013-06-28","2013-06-28","2011-09-15",,,190,"D",6,"B",4,"Autres (théâtres, salles de sport, restaurati","\N","\N",1947,"67.50","67.50",97,"BASTIA",,,"1 rue neuve St ROCH",,,"RDC",,,"20200","20200","20200","Non communiqué",,"\N","\N","2","Rdc","61.36","100.00","0.00","0","0","1","0","0","0","0.00","\N","0","0","12.73","0.00","0.00","61.36","61.36","40.24",1,"QUALIXPERT","17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11)","0",0,"2013-07-02T04:00:00+02:00",,,0,,,,,,"V7",1,"6.3c","Pour  les  autres  bâtiments  non  mentionnés  dans  les  deux  précédents  cas : Consommation par Usage","7_V7_DPE_6.3c.pdf",0,"Vente","Vente",1,"TR002_004","Bâtiments ou partie de bâtiment à usage principal autre que d'habitation","Non résidentiel",0,5,0,,,,,,,,,,"2B","2B - Haute Corse",3,4,0,6000,4000,32000,126,400,1.8,5,-2,504,52,65.5,81.8,98,42,60,"H3",9.65,14.5,22200,2.9,"Ed",5,7,4,5
