"numero_dpe","date_derniere_modification_dpe","date_visite_diagnostiqueur","date_etablissement_dpe","date_reception_dpe","date_fin_validite_dpe","numero_dpe_remplace","numero_dpe_immeuble_associe","id_rnb","provenance_id_rnb","numero_immatriculation_copropriete","modele_dpe","version_dpe","methode_dpe","categorie_erp","secteur_activite","etiquette_dpe","etiquette_ges","annee_construction","periode_construction","surface_shon","surface_utile","nombre_occupant","adresse_ban","numero_voie_ban","nom_rue_ban","nom_commune_ban","code_postal_ban","code_insee_ban","code_departement_ban","code_region_ban","identifiant_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","score_ban","statut_geocodage","adresse_brut","nom_commune_brut","code_postal_brut","numero_etage_appartement","nom_residence","complement_adresse_batiment","complement_adresse_logement","conso_kwhep_m2_an","emission_ges_kg_co2_m2_an","type_energie_principale_chauffage","type_energie_n1","type_usage_energie_n1","conso_ep_energie_n1","conso_ef_energie_n1","frais_annuel_energie_n1","annee_releve_conso_energie_n1","type_energie_n2","type_usage_energie_n2","conso_ep_energie_n2","conso_ef_energie_n2","frais_annuel_energie_n2","annee_releve_conso_energie_n2","type_energie_n3","type_usage_energie_n3","conso_ep_energie_n3","conso_ef_energie_n3","frais_annuel_energie_n3","annee_releve_conso_energie_n3"
"2220T2607606Y","2023-10-26","2022-11-03","2022-11-03","2022-11-04","2032-11-02","2220T2607302G",,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture",,"autres tertiaires non ERP","D","B",2008,"2006-2012",,279,500,"Avenue du Docteur Noel Franchini 20090 Ajaccio",,"Avenue du Docteur Noel Franchini","Ajaccio","20090","2A004","2A","94","2A004_0442",1177893.75,6110599.98,0.65,"adresse non géocodée ban car aucune correspondance trouvée","Espace Madonuccia, Avenue du Docteur Noel Franchini","AJACCIO","20090",2,,,,173,4.8,,"Électricité","périmètre de l'usage inconnu",10591.5,4605,743,2021,"Électricité","périmètre de l'usage inconnu",10133.8,4406,710.9,2021,"Électricité","périmètre de l'usage inconnu",10120,4400,709.9,2022
"2320T0311132B","2023-10-26","2023-01-17","2023-01-30","2023-01-31","2033-01-29",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement","5ème Catégorie","locaux d'entreprise (bureaux)","D","B",,"1983-1988",161.7,100,0,"Residence U Nociu Lieu Dit Scalo 20230 Santa-Lucia-di-Moriani",,"Residence U Nociu Lieu Dit Scalo","Santa-Lucia-di-Moriani","20230","2B307","2B","94","2B307_A270",1237871.94,6164857.73,0.35,"adresse géocodée ban à l'adresse","Lieu dit ""U Punticchiu""","SANTA LUCIA DI MORIANI","20230",0,,"23/IMO/0068",,223.4,6.2,,"Électricité","périmètre de l'usage inconnu",39744,17280,2976,2023,,,,,,,,,,,,
"2420T1437710A","2024-04-22","2024-04-17","2024-04-21","2024-04-22","2034-04-20",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture dans un bâtiment de logement","5ème Catégorie","M : Magasins de vente, centres commerciaux","C","A",,"1948-1974",63,100,0,"40 Cours Lucien Bonaparte 20000 Ajaccio","40","Cours Lucien Bonaparte","Ajaccio","20000","2A004","2A","94","2a004_0840_00040",1175255.7,6107152.23,0.69,"adresse géocodée ban à l'adresse","40 cours Lucien Bonaparte","AJACCIO","20000",0,,"IMO-24-04-040-BARTOLI",,94.1,2.6,,"Électricité","périmètre de l'usage inconnu",6519,2834.3,635.1,2024,,,,,,,,,,,,
"2320T1943419I","2023-10-26","2023-05-10","2023-06-11","2023-06-12","2033-06-10",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement","5ème Catégorie","J : Structures d’accueil pour personnes âgées ou personnes handicapées","C","A",,"2013-2021",357.5,100,0,"Rue Vincentellu dâ€ Istria 20137 Porto-Vecchio",,"Rue Vincentellu dâ€ Istria","Porto-Vecchio","20137","2A247","2A","94","2a247_y6ihfl",1223603.83,6076270.81,0.45,"adresse géocodée ban à l'adresse","Rue Vincentellu d'Istria - Local Coworking","PORTO VECCHIO, France","20137",0,,"23/ANGELINI/0119",,131.6,3.7,,"Électricité","périmètre de l'usage inconnu",51743.9,22497.3,3945,2022,,,,,,,,,,,,
"2420T2137471X","2024-06-14","2024-06-13","2024-06-13","2024-06-14","2034-06-12",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture","5ème Catégorie","W : Administrations, banques, bureaux","B","A",1980,"1978-1982",,160.4,500,"Résidence Casabianca 20000 Ajaccio",,"Résidence Casabianca","Ajaccio","20000","2A004","2A","94","2A004_A018",1174859.42,6107229.62,0.38,"adresse non géocodée ban car aucune correspondance trouvée","Résidence Saint Joseph, Immeuble Faggianelli","AJACCIO","20000",3,,,,97.4,2.7,,"Électricité","périmètre de l'usage inconnu",15619.3,6791,1162.6,2024,,,,,,,,,,,,
"2220T2548981D","2023-10-26","2022-10-16","2022-10-20","2022-10-28","2032-10-19",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire vierge dans un bâtiment de logement",,"autres tertiaires non ERP",,,1900,"avant 1948",,36,500,"16 Rue General de Carbuccia 20200 Bastia","16","Rue General de Carbuccia","Bastia","20200","2B033","2B","94","2b033_0800_00016",1228491.7,6198917.03,0.53,"adresse géocodée ban à l'adresse","General de Carbuccia","BASTIA","20200",0,"Bâtiment",,,,,,,,,,,,,,,,,,,,,,,
"2420T0399266W","2024-02-03","2024-01-14","2024-02-02","2024-02-03","2034-02-01",,,,,,"DPE 2006 tertiaire et ERP",2.3,"dpe tertiaire facture","5ème Catégorie","W : Administrations, banques, bureaux","C","A",,"1983-1988",751.3,100,0,"Strada di u Stadiu 20213 Penta-di-Casinca",,"Strada di u Stadiu","Penta-di-Casinca","20213","2B207","2B","94","2b207_h2n8m9",1231133.41,6173341.89,0.39,"adresse géocodée ban à l'adresse","Strada Di U Stadiu, Centre de formation Marius MARIOTTI","FURIANI","20600",0,,"231214 Centre formation - CAB","Etage RDC+1",155.8,4.3,,"Électricité","périmètre de l'usage inconnu",128749.4,55978,0.2,2023,,,,,,,,,,,,
"2220T3211850C","2023-10-26","2022-12-28","2022-12-28","2023-01-27","2032-12-27",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture dans un bâtiment de logement",,"M : Magasins de vente, centres commerciaux","D","B",1987,"1983-1988",96.6,106.2,1,"Palais des Allées 20220 L'Île-Rousse",,"Palais des Allées","L'Île-Rousse","20220","2B134","2B","94","2b134_phsiwz",1187214.17,6188613.14,0.48,"adresse non géocodée ban car aucune correspondance trouvée","Résidence LE RELAIS","L'ILE ROUSSE","20220",,,,,852,24,,"Électricité","Eau Chaude sanitaire",90485,39341,5665,2023,"Électricité","Eau Chaude sanitaire",90485,39341,5665,2022,"Électricité","Eau Chaude sanitaire",90485,39341,5665,2021
"2220T2386379F","2023-10-26","2022-10-11","2022-10-12","2022-10-13","2032-10-11",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire facture","5ème Catégorie","N : Restaurants et débits de boisson","E","B",,"avant 1948",142,100,0,"Rampe Pozza 20250 Corte",,,"Corte","20250","2B096","2B","94","2B096_0375",1207551.36,6153795.05,0.52,"adresse géocodée ban à l'adresse","Restaurant U FRAGNU 
 8 Rampe Pozza","CORTE","20250",0,,"22/0561/LLO",,274.8,7.6,,"Électricité","périmètre de l'usage inconnu",42921.8,18661.7,2124.3,2021,,,,,,,,,,,,
"2220T2604839N","2023-10-26","2022-11-03","2022-11-03","2022-11-04","2032-11-02",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire vierge dans un bâtiment de logement",,"autres tertiaires non ERP",,,2003,"2001-2005",,59.9,500,"place de la gare 20250 Corte",,,"Corte","20250","2B096","2B","94","2b096_ffe826",1208183.4,6153356.82,0.6,"adresse géocodée ban à l'adresse","Route de la Gare","POGGIO-DI-VENACO","20250",0,"Casa Agostino Giafferri Bâtiment",,,,,,,,,,,,,,,,,,,,,,,
"2220T1893555L","2023-10-26","2022-08-22","2022-08-22","2022-08-23","2032-08-21",,,,,,"DPE 2006 tertiaire et ERP",2.1,"dpe tertiaire vierge",,"locaux d'entreprise (bureaux)",,,1991,"1989-2000",,133.8,500,"Ile Cavallo 20169 Bonifacio",,,"Bonifacio","20169","2A041","2A","94","2A041_B186",1225218.35,6050232.4,0.39,"adresse géocodée ban à l'adresse","Ile Cavallo","BONIFACIO","20169",,"Bâtiment A - Village des pêcheurs",,,,,,,,,,,,,,,,,,,,,,,
"2320T0043893Q","2023-10-26","2023-01-05","2023-01-05","2023-01-06","2033-01-04",,,,,,"DPE 2006 tertiaire et ERP",2.2,"dpe tertiaire vierge","5ème Catégorie","M : Magasins de vente, centres commerciaux",,,,"2006-2012",148,100,0,"Strette 20090 Ajaccio",,,"Ajaccio","20090","2A004","2A","94","2a004_axn0rc",1177822.13,6110605.14,0.56,"adresse géocodée ban à l'adresse","Lieudit Strette","AJACCIO","20090",0,,"DIA-PNA02-2301-005","Etage : RDC",,,,,,,,,,,,,,,,,,,,,
